List,URL,Title,Price,Description,Logo,Photos,Review,Details,Code
Joe Rogan's Supplements,https://www.amazon.com/Pure-Encapsulations-PureLean-Metabolism-Management/dp/B08KWFTD55?dchild=1&keywords=Pure+Encapsulations+Athletic+Pure+Pack&qid=1620071911&sr=8-3&linkCode=sl1&tag=jrebooks-20&linkId=038c9482f2c585d2c22ab86ac66b6abf&language=en_US&ref_=as_li_ss_tl,Pure Encapsulations Athletic Pure Pack,65.3,"Support for healthy metabolism, lipid utilization as part of a healthy lifestyle with a reduced calorie and regular exercise.*
• PureLean Pure Pack is designed to support healthy metabolism and lipid utilization for healthy support.*
• Activated B Vitamins: Vitamins and minerals in highly bioavailable forms including Metafolin L-5-methyltetrahydrofolate (L-5- MTHF).
• Convenient: Convenient daily packet for easy dispensing. Take 1 packet daily (7 capsules), with a meal.
• Pure Quality: Our supplements are made with only premium ingredients sourced from trusted suppliers and guided by our nutritional experts, then carefully manufactured and tested to verify their potency and purity.
• Pure Difference: What makes us different isn't just our process or what goes into our supplements -- what we leave out matters, too. Pure Encapsulations products are FREE FROM wheat, eggs, tree nuts & peanuts, gluten, artificial colors, flavors & sweeteners, coatings and shellacs, GMOs, and unnecessary binders, fillers & preservatives.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/71zNWXQjR8L._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/815RHDj9QQS._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81gGrNtuEzL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81RqlD4A2UL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81Tfl0YVlzS._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81q+o3nJaUS._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81GRH69QQwS._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81EvnwitbbS._AC_SL1500_.jpg","The foundation of Joe Rogan’s supplement stack is a daily multivitamin. He takes a multivitamin to ensure his body is consistently getting the vitamins and minerals it requires. Rogan has been taking Pure Encapsulations Athletic Pure Pack for years as seen in this 2013 Instagram post and as discussed in JRE #802 with Tom Papa (May 2016). Athletic Pure Packs are conveniently separated into daily packets of 9 capsules each. Rogan prefers powdered vitamins in capsule form for better absorption. Athletic Pure Pack is more than just a multivitamin as each packet also contains capsules with BCAAs, ascorbic acid, coenzyme Q10, L-glutamine as well as 900mg of fish oil. He’s a fan of the packets because they’re easy to toss into a backpack to take to the studio or on the road.

Dr. Rhonda Patrick’s favorite daily multivitamin is Pure Encapsulations O.N.E. Multivitamin.",,
Joe Rogan's Supplements,https://www.amazon.com/Carlson-Norwegian-Finest-Orange-Omega-3s/dp/B001LF39S8/ref=sr_1_1_sspa?keywords=carlson+fish+oil&qid=1692366875&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&smid=AM56E6KTXTGYG,Carlson ,46.75,"HEART, BRAIN AND JOINT HEALTH - Each teaspoon of Carlson's liquid fish oil provides 1,600 mg of omega-3s, including EPA and DHA, which support heart, brain, vision, and joint health.
AWARD-WINNING TASTE AND QUALITY - The Very Finest Fish Oil has received numerous awards for its taste and quality.
SUSTAINABLY SOURCED - We source the highest quality, deep, cold-water fish using traditional, sustainable methods for this omega 3 supplement.
IFOS AND IGEN NON-GMO CERTIFIED - To protect the effectiveness of the nutrients found in our products, Carlson employs manufacturing techniques that avoid the use of excessive heat, moisture, and solvents to protect nutrient content.
FRESHNESS, POTENCY, AND PURITY GUARANTEED - Carlson The Very finest Fish Oil is bottled with a touch of antioxidants and is given a nitrogen flush to remove oxygen and to prevent oxidation. Like all Carlson omega-3s, freshness, potency, and purity are guaranteed.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61o7qz29BFL._AC_SL1200_.jpg
https://m.media-amazon.com/images/I/613j1gl7+3L._AC_SL1200_.jpg
https://m.media-amazon.com/images/I/61oSz0KKI0L._AC_SL1200_.jpg
https://m.media-amazon.com/images/I/81c7wGFLKkL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81bePZLeaOL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/91M4Yz92T1L._AC_SL1500_.jpg","Fish oil is rich in Omega-3s fatty acids which are an important part of a healthy diet. In JRE #1178 with Dr. Rhonda Patrick, Rogan mentioned that he takes the liquid form of Carlson Fish Oil (Natural Lemon Flavor). A serving size is 1 tsp and contains 1600mg of Omega-3. Rogan said he takes 3 tbsp per day totaling 14.4g of Omega-3 which seems excessive (it’s possible he misspoke and meant 3 tsp per day). He’s been using Carlson Fish Oil for years and used to take their softgels, as seen in his 2013 Instagram post.

Rhonda Patrick takes 6g of fish oil per day which she considers to be a high dose. She used to take a combination of Nordic Naturals ProOmega 2000 and Nordic Naturals Omega-3 Phospholipids softgels. She now takes Norwegian Pure-3 DHA and eats salmon roe (fish eggs).",,
Joe Rogan's Supplements,https://www.amazon.com/Vitamin-Cholecalciferol-5000-Gels-Solgar/dp/B00FQEPBA4/ref=as_li_ss_tl?ie=UTF8&qid=1550033591&sr=8-3&keywords=solgar+vitamin+d3+5000+iu&linkCode=sl1&tag=jrebooks-20&linkId=0c2cf90c9055f38fcfb14e7a97cbb900&language=en_US,Solgar Vitamin D3 5000 IU,27.9,"Considered as Dietary Supplement. Gluten, Wheat and Dairy Free. Since 1947.
• Maintain Healthy Bones & Teeth; Vitamin D is required to promote calcium absorption, which helps maintain healthy bones and teeth; Solgar Vitamin D3 Softgels provide 10 mcg (400 IU) in one easy to take softgel
• Support Your Immune System; Solgar Vitamin D3 (Cholecalciferol) 10mcg (400 IU) Softgels support a healthy immune system and neuromuscular function
• Optimal Absorption; The Vitamin D3 in this product is the same form produced by the body when our skin is exposed to sunlight; As we age, our bodies may absorb less D3; These advanced, oil-based softgels promote optimal absorption and assimilation
• Non-GMO, Gluten Free, Dairy Free; Solgar Vitamin D3 400 IU Softgels are free of: gluten, wheat, dairy, soy, yeast, sugar, sodium, artificial flavor, sweetener, preservatives and color
• The Gold Standard; For over 70 years, Solgar has been committed to quality, health, and well-being. Our mission is to create the finest nutritional supplements in small batches, through tireless research, using only the finest raw materials",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/71JiXjMukhL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71Qjru7dFHL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/61gDFCYl0vL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71BNiVOkGsL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71-4c6JPtxL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71QCrcObYKL._AC_SL1500_.jpg","The majority of people are deficient in Vitamin D which they get mainly from sun exposure as it’s not abundant in food. Vitamin D controls the expression of over 1000 genes so adequate levels are important for reducing inflammation, depression, aging and cancer risk as well as increasing brain function and serotonin production. Joe Rogan supplements with Solgar Vitamin D3 5000IU softgels (source). In JRE #1474 (May 2020), Rogan confirmed that he still takes 5000IU of Vitamin D per day.

Dr. Rhonda Patrick recommends getting a blood test to determine your baseline concentration of Vitamin D and then supplement with Vitamin D3 to achieve a blood concentration of 40 to 60ng/ml. She says the typical dose to meet these levels is 4000 IU per day. Dr. Patrick takes and recommends Thorne Research Vitamin D. Thorne is her go to brand and is also the official sports performance nutrition partner of the UFC.",,
Joe Rogan's Supplements,https://www.onnit.com/active-b-vitamins/?feed&irgwc=1&clickid=2gpwqAzw1xyPR7QUNZUeSUTuUkF15B2%3AfSfrWE0&utm_source=420711&utm_campaign=Onnit%20Product%20Feed%20Ad&utm_medium=IR&utm_content=JRE%20Library,Onnit Active B Complete,18.95,"Providing the best in natural supplements and fitness equipment.  Home of our flagship nootropic, Alpha BRAIN.",https://onnits3.imgix.net/interface/branding/touch-icon.png?w=32&h=32,https://www.onnit.com/onnit/images/authority/5152.png?ver&w=735&auto=format,"In a 2014 vlog, Joe Rogan showed off his supplement cupboard and said he was taking a Vitamin B complex and Vitamin B3 (niacin). As recently as March 2019, he confirmed that he still supplements with Vitamin B daily. Onnit Active B Complete is a Vitamin B complex that has 100% of the recommended daily allowance of Vitamins B1 (thiamine), B2 (riboflavin), B3 (niacin), B5, B6, B7 (biotin), B9 (folic acid) and B12. The B vitamins are essential for various metabolic processes. They are water-soluble and not stored in the body so regular consumption is required.

Dr. Rhonda Patrick does not supplement with a separate B-complex as her daily multivitamin (Pure Encapsulations O.N.E.) already contains the B vitamins. She does not take a separate niacin supplement either.","Visit onnit.com and use promo code ROGAN or GETONNIT to get 10% off of any and all supplements. Read more about Joe Rogan’s supplement stack here.

Check out Onnit’s current free trial offers for their best-selling supplements:","ROGAN
GETONNIT"
Joe Rogan's Supplements,"https://www.amazon.com/Now-Foods-Pack-Zinc-Tablets/dp/B01KW3C94O/ref=as_li_ss_tl?crid=376PTQO6FVSBU&dchild=1&keywords=zinc+gluconate&qid=1591572675&s=hpc-intl-ship&sprefix=zinc+gluconate,hpc-intl-ship,211&sr=1-4&linkCode=sl1&tag=jrebooks-20&linkId=90ad35facf76009f8e40184a0091e786&language=en_US",Now Foods Zinc,17.8,"Zinc is essential to the normal function of many organs and systems within the body including the skeletal, immune, neurological, and endocrine systems.* Zinc is a necessary mineral co-factor for hundreds of enzymatic reactions related to protein and carbohydrate metabolism, RNA/DNA synthesis, and intercellular signaling.* It is also known to play a critical role in the body's defense against oxidative processes and is especially helpful for maintenance of healthy aging.*
• SUPPORTS ENZYME FUNCTIONS*: Zinc is essential to the normal function of many organs and systems within the body including the skeletal, immune, neurological, and endocrine systems.*
• IMMUNE SUPPORT*: Zinc is a necessary mineral co-factor for hundreds of enzymatic reactions related to protein and carbohydrate metabolism, RNA/DNA synthesis, and intercellular signaling.*
• CLASSIFICATIONS/CERTIFICATIONS: Vegan, Soy Free, Kosher, Non-GMO, Halal, Sugar Free
• GMP Quality Assured: NPA A-rated GMP certification means that every aspect of the NOW manufacturing process has been examined, including our laboratory/testing methods (for stability, potency, and product formulation).
• Packaged in the USA by a family owned and operated company since 1968.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61rsdQpTRDL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61k6vOTlrFL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61TZf0FppyL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/71IPC5d0Y7L._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61mDOQVA0ZL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61kEWxmeaGL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61+MNXtIeWL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/613Mg1GIgPL._AC_SL1000_.jpg","Zinc is a trace mineral that is essential to support immune function. While not common in the US, zinc deficiency can cause higher incidences of infection and increased inflammatory cytokines. It’s important for vegetarians to supplement with zinc. Supplementing with zinc can reduce the duration and severity of colds. Zinc is also required to produce testosterone. Joe Rogan gets his zinc intravenously, however it can be consumed orally. Dr. Rhonda Patrick also supplements with zinc.",,
Joe Rogan's Supplements,https://www.pureencapsulationspro.com/liposomal-glutathione.html,Pure Liposomal Glutathione Capsules,60.3,Supports antioxidant defenses and detoxification in an innovative liposomal form‡,https://www.pureencapsulationspro.com/media/favicon/stores/1/22_03_AI_BrandFavicons_288x288_PE.png,https://www.pureencapsulationspro.com/media/catalog/product/cache/92b9a95b454eb0932fd98f4298dc611d/image/4959e0b4/liposomal-glutathione-lsg3-lsg6.jpeg,"Glutathione is a powerful antioxidant that is found in every cell in the human body. It improves immune function, brain function, reduces inflammation and has anti-aging properties. Glutathione repairs and protects cells from damage from free radicals. When glutathione is taken orally, stomach enzymes break most of it down before it’s fully absorbed. A more bioavailable oral version is liposomal glutathione which encapsulates the glutathione in tiny lipid bubbles to protect it from breaking down. The most effective way to increase the body’s glutathione levels is to get an IV infusion of glutathione like Joe Rogan.

",,
Joe Rogan's Supplements,https://www.onnit.com/virutech/?pid=628&autosub=0&irgwc=1&clickid=2gpwqAzw1xyPR7QUNZUeSUTuUkF15BzPfSfrWE0&utm_source=420711&utm_campaign=Onnit%20Product%20Feed%20Ad&utm_medium=IR&utm_content=JRE%20Library,Onnit ViruTech,12.56,"VIRUTech&reg; is a combination of potent, well researched, immune-supportive amino acids, antixodiants and trace minerals to help deal with oxidative stress and immune challenges.",https://onnits3.imgix.net/interface/branding/touch-icon.png?w=32&h=32,https://www.onnit.com/onnit/images/authority/628.png?ver&w=735&auto=format,"Intravenous infusions can cost hundreds of dollars each which is cost prohibitive for the average person. Onnit ViruTech is an oral supplement containing some of the same ingredients as Joe Rogan’s IVs including Vitamin C and zinc but not glutathione. It is formulated to support the immune system and maintain cellular integrity. ViruTech is meant to be taken when you feel like you’e coming down with something or when you’re at high risk of getting sick due to travel or exposure to others who are sick. Additional ingredients include quercetin which Rogan also supplements with as well as selenium, L-lysine, and alpha-lipoic acid. Shroom TECH Immune is Onnit’s supplement designed for daily immune support.","Visit onnit.com and use promo code ROGAN or GETONNIT to get 10% off of any and all supplements. Read more about Joe Rogan’s supplement stack here.

Check out Onnit’s current free trial offers for their best-selling supplements:","ROGAN
GETONNIT"
Joe Rogan's Supplements,"https://www.amazon.com/Quercetin-Powerfully-Cardiovascular-Bioflavonoids-Celllular/dp/B07H9LGDPM/ref=as_li_ss_tl?crid=KDV5G8COOPTA&dchild=1&keywords=quercetin&qid=1591484091&sprefix=quercetin,aps,182&sr=8-6&linkCode=sl1&tag=jrebooks-20&linkId=f44238a816c7ca3d582aee0d5aab22e6&language=en_US",NatureBell Quercetin ,26.95,"High concentrated 95% pure quercetin capsules. Natural soy-free sophora japonica source. Highest bioavailable dihydrate form. Rich source of antioxidants and flavonoids.
240 capsules per bottle. 2 capsule serving size. 1,000mg dose with 500mg per capsule. Up to a 4-month supply.
A natural herbal ingredient that provides important phytonutrients for promoting year round immune support in both men and women.
The sophora japonica plant naturally contains an abundance of water soluble quercetin properties and offers it in its most biologically activated form for maximized results.
Authentic non-GMO quercetin powder capsuled supplements. Contains pure ingredients free of soy, dairy, gluten, preservatives, and additives. Product is produced in California and 3rd party lab tested for safety and potency.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,https://m.media-amazon.com/images/I/71cHW8Eg7QL._AC_SX679_.jpg,"Quercetin is a flavonoid (plant pigment) present in fruits, vegetables and grains. It has antioxidant, anti-inflammatory and some antiviral properties. Food sources rich in quercetin include apples, onions, berries, kale, tomatoes, and tea. Both Joe Rogan and Dr. Rhonda Patrick said they supplement with quercetin. Dr. Rhonda Patrick also consumes buckwheat tea for its high quercetin content. Quercetin supports the immune system and clears out senescent cells. It’s also good to take quercetin if you’re supplementing with zinc as it acts as a zinc ionophore to help zinc get into your cells. Dr. Mark Gordon appeared on JRE #1589 and went into detail on the benefits of supplementing with quercetin (500mg twice per day) and zinc (15 to 30mg twice per day) as a preventative during the pandemic.",,
Joe Rogan's Supplements,https://www.onnit.com/creatine/?feed&irgwc=1&clickid=2gpwqAzw1xyPR7QUNZUeSUTuUkF15BwXfSfrWE0&utm_source=420711&utm_campaign=Onnit%20Product%20Feed%20Ad&utm_medium=IR&utm_content=JRE%20Library,Onnit Creatine Monohydrate,14.99,"Providing the best in natural supplements and fitness equipment.  Home of our flagship nootropic, Alpha BRAIN.",https://onnits3.imgix.net/interface/branding/touch-icon.png?w=32&h=32,"https://www.onnit.com/onnit/images/authority/5587.png?ver&w=735&auto=format
https://scdn.onnit.com/images/product-page/sports-nutrition/creatine/hero-midground.png
https://scdn.onnit.com/images/product-page/sports-nutrition/creatine/hero-foreground.png
https://c.evidon.com/pub/icong1.png","Creatine is considered by many to be the most effective supplement for exercise and athletic performance. It’s backed by a ton of research and is deemed safe to take daily. Creatine monohydrate gives muscle cells more energy which increases workout intensity, strength gains and muscle growth. Rogan thinks it’s one of the few legit supplements that actually increases strength. Another benefit of creatine is its nootropic-like effect on brain function and mental performance. The standard dose of creatine monohydrate is 5g per day. It’s one of the most cost-effective supplements on the market.","Visit onnit.com and use promo code ROGAN or GETONNIT to get 10% off of any and all supplements. Read more about Joe Rogan’s supplement stack here.

Check out Onnit’s current free trial offers for their best-selling supplements:","ROGAN
GETONNIT"
Joe Rogan's Supplements,https://www.onnit.com/protein-bites/?pid=6678&feed&irgwc=1&clickid=2gpwqAzw1xyPR7QUNZUeSUTuUkF15BwGfSfrWE0&utm_source=420711&utm_campaign=Onnit%20Product%20Feed%20Ad&utm_medium=IR&utm_content=JRE%20Library,Onnit Protein Bites,31.96,"Protein Bites, now in Cookies and Cream and S&rsquo;mores. Shop Now.",https://onnits3.imgix.net/interface/branding/touch-icon.png?w=32&h=32,"https://onnits3.imgix.net/product-page/protein-bites/Bites-Authority-1.jpg?q=40&fm=pjpg&auto=compress,format
https://onnits3.imgix.net/product-page/protein-bites/buybox-2.jpg?q=40&fm=pjpg&auto=compress,format
https://onnits3.imgix.net/product-page/protein-bites/Bites-Authority-3.jpg?q=40&fm=pjpg&auto=compress,format
https://onnits3.imgix.net/product-page/protein-bites/buybox-4.jpg?q=40&fm=pjpg&auto=compress,format
https://onnits3.imgix.net/product-page/protein-bites/bites-grid.jpg?q=40&fm=pjpg&auto=compress,format","Joe Rogan used to talk about Onnit Hemp Protein all the time but it’s no longer available and he hasn’t really spoken about any protein powder since. He gets most of his protein from elk meat and other wild game that he’s hunted. But another source of protein he speaks about frequently are Onnit Protein Bites. He says they’re the most addictive of any protein bar he’s ever tried, especially the Chocolate Coconut Cashew ones. Apparently they’re hard to keep around the house and studio because people can’t stop eating them. Each “bite” has 7g of whey protein and nutrients from over 60 plant ingredients.","Visit onnit.com and use promo code ROGAN or GETONNIT to get 10% off of any and all supplements. Read more about Joe Rogan’s supplement stack here.

Check out Onnit’s current free trial offers for their best-selling supplements:","ROGAN
GETONNIT"
