Profile,List,Info,Source,Date,Notes
Andrew Ethan Zheng,Choosing the Best Travel Backpack: A Review & Guide for 2023,"According to a prominent psychological study, the average human makes upwards of 35,000 decisions every single day. That’s a whole lotta deciding right? But in truth, some of life’s (many) decisions are more important than others. BIG decisions include what career to  pursue, who to marry and of course whether you should take the red pill, the blue pill or both…

So, in the grand scheme of things, choosing which travel backpack to buy may not seem all that important and yet take it from us (the experts), having the right backpack can sometimes make or break a trip. Seriously peeps, choosing which backpack to bring on a given trip is AS important as choosing where to go.

Your travel backpack will carry every single one of your possessions on the road and will become your home. You need your chosen backpack to be strong, durable, comfortable, and compact enough to save you some space!

Over the years, I have perso
nally tried countless different backpacks. I have carried them all over the world, up mountains into valleys, tossed them onto the back of busses and places them delicately in overhead compartments.

In this post I am going to channel all of that experience and knowledge in order to answer, what is the best travel backpack? Join me as I explore several bags and what makes them more or less suitable for each person’s specific needs.",https://www.thebrokebackpacker.com/best-travel-backpack/,,
Andrew Ethan Zheng,7 BEST Bikepacking Tents of 2023 | Options for all trips and budgets!,"Bikepacking is one of those passions that requires some serious gear in order to do it properly. Obviously every bike packer needs a decent bike but perhaps the second most important piece of gear is a good quality bike packing tent.

A bike packers tent becomes their home and their place of refuge after a long days riding. As you know, the nature of bikepacking trips can mean having to pitch up miles from civilisation and sleeping out in all conditions. But, like tortoises, bikepackers also need to carry these homes with them wherever they go.

As such, the best bikepacking tent needs to be comfortable, durable, easy to pitch and as light as possible in order to facilitate riding. Well the good news that If you’re looking for the best bikepacking tents right now, this list will answer all your questions. We have tried and tested Solo tents, ultralight tents, two and three man tents – whatever you’re after, we got you covered.

On our list of the top bikepacking tents of 2023, we’ve taken into consideration a bunch of different factors to make sure that only the best of the best has made it onto this list — how easy they are to put up, water resistance, price, durability, and more — all to make it easy to find the right bikepacking tent for your travel needs.",https://www.thebrokebackpacker.com/best-bikepacking-tents/,,
Andrew Ethan Zheng,9 Unbelievable Ultralight Backpacks • Top Picks of 2023 • Bargain Guide,"What a great time to be alive my friends…

Why is that?

Well because we are living in a golden age of outdoor gear, ultralight backpacks have never been better! Gear-nerds unite!

Ultralight backpacks have changed the hiking and travelling game considerably. Backpackers can now travel way lighter with the help of some brilliantly designed ultralight backpacks.

But with an influx of great backpacks, has also come an influx of bad backpacks, and knowing which one to spend your money on can be tough. Especially when an ultralight pack usually isn’t cheap!

So to help, I’ve put together this epic guide to the best ultralight packs for backpackers.

As a former Appalachian Trail thru-hiker, I can attest to the importance of having a truly badass ultralight backpack and lightweight gear in general. By the end of this guide you will be able to crush your travels and outdoor backpacking adventures like never before with the perfect ultralight backpacking pack for you!

",https://www.thebrokebackpacker.com/best-ultralight-backpacks/,,
Andrew Ethan Zheng,Best Carry-On Bag For Ryanair – Squeezing Into 2023!,"There’s carry-on ready, and then there is Ryanair ready. The budget ticket seller makes no secret of their passionate enforcement of draconian bag requirements. Just like the black market adjusting to the police increasing cell phone monitoring, some companies have made it their mission to stay ahead of the rules.

The choices are split between free bags that may have to go in the overhead compartment and carry-ons guaranteed to fight under tight seats.

Just remember, the art to travelling carry-on only with Ryanair is not just the bag itself, but learning how to properly pack your bag for flying on the chicken bus of the skies!

We’ll show you a few backpacks that bring the power back to the passengers!

",https://www.thebrokebackpacker.com/best-carry-on-bag-for-ryanair/,,
Andrew Ethan Zheng,20 BEST Travel Backpacks for Women (2023 Expert Picks),"Your backpack will carry every single one of your possessions on the road; it will be your home away from home! Therefore, choosing the perfect one for you is essential for your travels.

Comfortable, durable, big or small – there are so many factors that play into the right backpack, and it’s different for everyone. Since there are so many options, it can be quite overwhelming to make a decision on your own. That’s why I’ve created a guide to the best travel backpacks for women!

With lots of research, travel experience and an eye for the important details, I’ve included all sorts of different bags (All packs have been extensively used by myself and The Broke Backpacker team). No matter where you’re headed to, I’ve got the right backpack for you!

Every pack in this comprehensive guide was designed to last you for years, both in wear-and-ear and style.

Besides my top picks, I’ve included a quick guide at the end to help you figure out what to look for in a backpack.

Ready to find out the best women’s backpack for travel… course you are! Let’s crack on!",https://www.thebrokebackpacker.com/best-travel-backpacks-for-women/,,
Andrew Ethan Zheng,Best Sim For Travel in 2023,"The other day, I was at a semi-local music festival, and you couldn’t even buy a water bottle without downloading an app. Things are getting downright ridiculous, but until we can pull ourselves together and organize a good ole fashioned revolution, we’ll have to embrace this new truth: you can’t do shit without a cell phone.

Until relatively recently, it was a pretty sweet deal to head abroad and be hooked up to Wi-Fi only. Every time you left the hostel, it was just you and your downloaded maps exploring a new city without interruption. Nowadays, you’ll need to scan a QR code to see the menu, hop on local transport, or accept defeat and order a ride once you’ve gotten good and lost.

All that, plus the massive increase in freedom allowed by remote work, means a travel SIM card is starting to pop up on more and more packing lists. Being a digital nomad may mean stretching your trip a month or two, but it also requires high-speed internet at every stop. The good news is that international travelers have more options than ever.

We all don’t have to rely on Google voice, keep track of a few different SIM cards and pray that the next village will have a Recargas stand or face draconian data surcharges from our home cell phone provider anymore. An entire world of international SIM and e-SIM specialists will keep you connected through border crossings and around the globe.

You won’t find many international service providers with data plans as cheap as local options, nor will you come across affordable unlimited plans that you may have gotten used to at home. Still, every year the entry price for these products comes down a few dollars, and I’m officially paying attention.

The convenience of having a constant phone number is worth a few extra dollars, especially when your bank needs to send a confirmation code through text to a recognized number. So, to help you weigh the pros and cons of the best SIMs for travel vs any local provider, we’re going to break down the industry and see what kinds of coverage you can really count on.",https://www.thebrokebackpacker.com/best-sim-card-for-travel/,,
thebrokebackpacker,10 Best Down Jackets of 2023,"Down jackets are incredible. Whether you’re a hip city dweller, a mile-crushing backcountry hiker, or an adventurous backpacker, a good down jacket is your key to staying warm and looking stylish where ever your active life takes you.

In fact, having an awesome down jacket is crucial for every type of backpacker.

But not all down jackets are created equal. In fact, some of them can be complete rip-offs… which is exactly why I have assembled this ultimate guide to the top down jackets of 2022.

This review of the best down jackets is the culmination of years of experience using different down jackets in a variety of settings, scenarios, and big mountains. Down jackets are very activity-specific and you’ll need to find the right one to suit your purposes. Whether you’re looking for the best budget down jacket or something more specific and higher end, we’ve got you covered here.

Wanna know what’s the best down jacket for backpacking, of course you do! Let’s jump right into it!",https://www.thebrokebackpacker.com/best-down-jackets/,,
thebrokebackpacker,14 Best Backpacking Sleeping Bags: Stay Toasty in 2023,"If you’ve ever spent a night out in the woods, or camping in the shadow of the Himalayas, freezing your ass off and anxiously waiting for the night to be over, you probably already realise how important it is to pack the best backpacking sleeping bag possible! It’s one of the most important pieces of outdoor gear you’ll buy!

My style of travel involves a lot of camping, when I’m backpacking across the world I always travel with a tent, sleeping bag and sleeping pad. I have learned from experience that it’s well worth investing in proper camping gear rather than cheaping out.

I’ve put together this detailed guide after personally testing some of the best sleeping bags out there. I’m going to share these sleeping bags reviews with you now so you can make an educated decision before you head out on your next adventure.

I’ve gone through some of the best sleeping bags for backpacking so you don’t have to. So whether you’re looking at synthetic bags or considering a down sleeping bag, wondering what bag shape to go for or just a rundown of the most popular backpacking sleeping bags. We’ve got you covered!

When you’re choosing a sleeping bag, you need to take into account warmth, weight, (warmth to weight ratio!), comfort functionality, and price to find the best sleeping bag for your adventure style. With this guide, we’ll cover all of these aspects and more, so that you know exactly what to invest in. From cheap & affordable sleeping bags to ultralight kipping-sacks, we’ll review them all! Here’s our guide to the best sleeping bags for backpacking",https://www.thebrokebackpacker.com/best-backpacking-sleeping-bags/,,
thebrokebackpacker,The 12 Best Hiking Backpacks: The COMPLETE Roundup for 2023,"Whether you are heading to the mountains for a quick hike or for weeks at a time, you need to make sure you have the right gear.

I’ve been hiking for nearly ten years and have tried out over a dozen awesome hiking packs… This is why I wrote this article on the best backpacks for hiking and adventuring to help you find your soul-pack.

Trekking is one of my favorite past-times when travelling. To me, getting out of the city and into the woods or mountains is crucial. It helps reset my batteries and feel connected to nature. Plus, it’s free! As a broke backpacker, I spend a lot of my time camping out and hiking in the mountains.

I have a sneaking suspicion you feel the same way   🙂

But unfortunately, choosing the best backpack for hiking isn’t easy…

The internet is flooded with outdoor brands, all of which claim to make the ‘best’ hiking packs. And some of the options on the market are rubbish.

As a ten-year world traveler and experienced hiker, I’ve personally tried every one of the hiking backpacks in this post on different hikes and expeditions.

In this article, I assess the best hiking packs for you. I lay out my top picks for my favorite hiking backpacks, and I’ll introduce you to my favourite outdoor gear company.

With the help of this article, you’ll know exactly what to look for when picking out the best backpack for your hiking adventures…

These are my top hiking backpack recommendations. Let’s dive in.",https://www.thebrokebackpacker.com/best-backpacks-for-hiking/,,
thebrokebackpacker,The ULTIMATE Camping Checklist: Master the Outdoors in 2023,"You’re standing in your bedroom, camping checklist in hand. Your packing options have exploded all over your bed in a tremendously unorganized fashion. You’ve got three t-shirts but you only want to take two. Which one’s staying?

You have two day-packs. This one is waterproof and slightly bigger… but this one has a pocket for your water bladder… oh, dear.

Stop, fool! You sound like my mum trying to pack. It’s not that hard: c’mon, man! Look, here’s the deal. You’re going to go camping and you’re going to pack some shit. Some of that shit will be completely unnecessary and you’ll know better next time.

There will also be shit you opt not to bring along and then later find yourself desperately wishing you had. You’re gonna make mistakes when you pack for your trip, and then you’ll get better at it the next time. That’s why I love packing: it’s a game. You level up.

But it’s still overwhelming… what the bloody hell do I take camping?

Well, you start by taking this camping checklist and everything that makes an appearance in it. I’m talking tents, sleeping bags, and food: the camping essentials for not dying in the wilderness.

I’m also talking about fun things to bring camping. I, personally, always bring a companion of the stuffed and soft variety. I have a travelling friend that has a dreamcatcher permanently stored in an overhead pocket in his tent. He says he sleeps better with it.

That’s the fun of your camping packing list: it’s your own beast. It’s a choose your own adventure book.

But it’s also an adventure you should be prepared for, which is why we’ve compiled this comprehensive master camping list for you.",https://www.thebrokebackpacker.com/camping-checklist-master-packing-list/,,
