Profile,List,Info
Andrew Ethan Zeng,10 Premium Desk Setup Accessories You’ve Never Heard Of! (AUG 22),"Here are some unique and premium desk accessories I’ve been using and I think are worth adding to your desk. Feel free to comment and share your own desk accessory recommendations! Thank you Homedics (pronounced ho-meh-dics, I totally mispronounced it) for sponsoring this video.

https://www.youtube.com/watch?v=x_bNrBKPimg"
Andrew Ethan Zeng,10 Premium Desk Setup Accessories You’ve Never Heard Of! (NOV 22),"Here are new and premium tech accessories I’ve been using that’ll make for great tech gifts too. These tech gadgets you probably never heard of are also great for your desk setup and general day-to-day use. Feel free to comment and share your own tech gadget recommendations for the gifting season! Happy holidays! Thank you EightSleep for sponsoring this video.

See the full video here https://www.youtube.com/watch?v=XH42FXOyE6M"
Andrew Ethan Zeng,10 Unique Desk Accessories You Didn’t Know You Want! (AUG 23),"Here are some seriously unique desk accessories I’ve been using that are worth checking out to level your desk setup. Feel free to share your own desk accessories you love! 

See the review video here https://www.youtube.com/watch?v=v8UMb6mw73U"
Andrew Ethan Zeng,The MODERN Desk Setup 2023 ,"After years of optimizing and investing my desk setup, this is finally my modern desk setup for 2023 that I’m happy with! In this video, I go over the entire planning and ethos for this space and give you a full tour of the desk and entire office and studio setup and everything that has gone into it. I hope you enjoy it and take ideas for your own setups! Setup Makeover Episode 03 // Thank you for monday.com for sponsoring this video.

The ethos for this setup I think can be nicely summed up by one of my all-time favorite quotes by Leonardo da Vinci Simplicity is the ultimate sophistication. It's a space with a simple color palette, simple textures aesthetically and practically. I want my workspace to look and work as a studio, office, and living space that has multiple forms and functions, a space that positively impacts my well-being and allows my productivity and creativity to flow.

See video https://www.youtube.com/watch?v=PbyKuO68ZQc"
Andrew Ethan Zeng,10 Everyday Tech Gadgets You’ll WANT to Get! (JUL 23),"Here are a few unique tech gadgets I use on the daily and are great additions to a home, desk setup or EDC. To win the featured item, comment your own favorite everyday tech gadget. 

See the video here https://www.youtube.com/watch?v=QvjMV_gTAFE"
Andrew Ethan Zeng,The BEST Accessories for YOUR New MacBook!,"Supercharge your Mac with these 14 must-have accessories! I've been through hundreds of Mac accessories over the years and here are the 14 essential Mac accessories for your new or exisiting MacBook that'll improve your MacBook experience, workflow, and efficiency.

See the video here https://www.youtube.com/watch?v=TiEBSJRZFmA&t=3s"
Andrew Ethan Zeng,Frequent Flyers Premium Tech & Travel Kit (after 300+ flights),"Packing well means traveling well, here are the most important travel items and tech I carry as part of a frequent flyers kit and travel bag. After countless flights around the world, I’ve learned a lot about international travel and made plenty of mistakes and in this video I share the premium tech and travel items I carry with me in my luggage, check-in, and carry on bags. 

I hope this video helps, especially if you’re planning an overseas trip soon and I'd love to know in the comments if you have any travel tips to share! Thank you ClearVPN 2 for sponsoring today’s video. 

See the video here https://www.youtube.com/watch?v=7KevZul1_oA"
Andrew Ethan Zeng,My Travel Bag & Tech Essentials (after 50+ Work Trips),"Here are the absolute essentials I carry after travelling the world and working remotely, including tech, clothing, toiletries, and my tips and tricks to make travelling a breeze. In this video, I go over all my travel tech, what I pack and how I set up a portable desk setup to work remotely wherever I am in the world. Thank you monday.com for sponsoring today’s video.

See the video here https://www.youtube.com/watch?v=PXRwUQJNpV0"
Andrew Ethan Zeng,Real BUDGET Tech Gadgets Under $150,"Here are 10 unique, fun and affordable tech gadgets and desk accessories I’ve been using that are worth checking out. Comment and share your own tech and accessory recommendations below! Thank you Bellroy for sponsoring this video. 

See the video here https://www.youtube.com/watch?v=l5L-b2XSHvQ&t=18s"
Andrew Ethan Zeng,8 ESSENTIAL Home Office Desk Accessories – BIG Grovemade Unboxing,"Welcome to Episode 02 in the Setup Makeover Series! In this video, I take the new space and current desk setup, then begin to build it out and transform it all with my favorite handmade desk accessories. From wool desk pads and desk trays to a desk shelf and wrist rest, these desk accessories will help you stay organised and focused while you work. Thanks Grovemade for sponsoring this video. 

See the video here https://www.youtube.com/watch?v=gxh7nhdn7jc&t=53s"
Andrew Ethan Zeng,"My Portable 200"" 4K Laser Projector Setup","Here's why laser projectors may be the future of home entertainment. They're the biggest and brightest screens that are good enough to replace TV panels. In this video, I share my 200"" projector setup in the studio and office, compare 4 different LED and Laser projects in a projector show down: the BENQ GS50, XGIMI Horizon Pro, Nebula Capsule 3 Laser and Nebula Cosmos 4K Laser. Thank you Nebula for sponsoring today’s video.

See video here https://www.youtube.com/watch?v=c0LRjG_2GSA&t=3s"
Andrew Ethan Zeng,15 Tech & Desk Accessories You Didn't Know You Wanted (DEC 22),"Here’s 15 best tech gadgets and desk setup accessories I’ve reviewed in 2022 across premium tech, desk accessories, gadgets and more. From laptops and smart lights to cameras and monitors. I appreciate all your continued support of the channel so much, it’s allowed me to review the most tech I ever have this year! Thank you CleanMyMacX for sponsoring this video.

See video here https://www.youtube.com/watch?v=ra9IjcADyiY&t=1s"
Andrew Ethan Zeng,14 Premium Tech Gadgets You’ve Never Heard Of! (JUL 22),"Here's some cool tech gadgets for your desk, home office and living spaces! From electric lighters and custom keyboards to video bars these are the 14 coolest tech gadgets you've (probably) never heard of and have to check out! OK, maybe minus the AirTags – you got me. Thanks AnkerWork for sponsoring this video. 

See the video here https://www.youtube.com/watch?v=sphFnEUXrHI&t=61s"
Andrew Ethan Zeng,The BUDGET Smart Home Setup 2022,"Here's my smart home transformation and tour after collecting smart home devices for the last couple years. It was time to get more intentional with the smart home functionality, automation and design in this apartment so in this video I go through the new smart home setup. The BUDGET Smart Home Setup – DIY Upgrades + Tour 2022

See the video here https://www.youtube.com/watch?v=gSF368Xh1M4"
