Profile,List,Info
Andrew Huberman,Foundational Supplements,"“Does Andrew Huberman take NMN?” This is the question everyone has been asking, and Andrew has remained quiet about whether he was taking this “miracle” anti-aging supplement made famous by Dr. David Sinclair. Well, we finally have an answer.

In a recent episode of the Joe Rogan Experience, Huberman reveals he takes 1 gram of Renue by Science NMN sublingually.

NMN, short for nicotinamide mononucleotide, is a molecule that our bodies make naturally, which converts to NAD+. NAD+ regulates DNA repair, energy metabolism, gene expression, and cellular stress responses. As it naturally decreases as we age, Dr. David Sinclair of Harvard recommends supplementing with 500-1000 grams of NMN daily.

As of March 2023, the FDA has been cracking down on the sale of NMN as a dietary supplement. Many companies like Amazon have been removing NMN from their shelves. Renue by Science is a pioneer in bringing NMN to the market and is still carrying it on its website. Huberman takes NMN sublingually – meaning under his tongue – every single morning."
Andrew Huberman,Longevity Supplements,"“Does Andrew Huberman take NMN?” This is the question everyone has been asking, and Andrew has remained quiet about whether he was taking this “miracle” anti-aging supplement made famous by Dr. David Sinclair. Well, we finally have an answer. In a recent episode of the Joe Rogan Experience, Huberman reveals he takes 1 gram of Renue by Science NMN sublingually. NMN, short for nicotinamide mononucleotide, is a molecule that our bodies make naturally, which converts to NAD+. NAD+ regulates DNA repair, energy metabolism, gene expression, and cellular stress responses. As it naturally decreases as we age, Dr. David Sinclair of Harvard recommends supplementing with 500-1000 grams of NMN daily. As of March 2023, the FDA has been cracking down on the sale of NMN as a dietary supplement. Many companies like Amazon have been removing NMN from their shelves. Renue by Science is a pioneer in bringing NMN to the market and is still carrying it on its website. Huberman takes NMN sublingually – meaning under his tongue – every single morning."
Andrew Huberman,Focus & Cognition Supplements,"How do we improve the quality of our sleep? How do we maintain our testosterone levels as we get older? How do we keep focus and attention when life can be so exhausting and simultaneously pull you in a million different directions? How do we keep our stress under control? Most people have these questions, and it can be challenging to sort out the excellent information from the bad when searching for answers.

If you listen to Joe Rogan’s top-rated podcast, you may have heard a fascinating episode with Dr. Andrew Huberman, who has these same questions and tried to answer them himself. Since then, Huberman’s own podcast has since blown up. It has sparked a lot of interest in Dr. Huberman’s background, research, and his own personal supplement regimen for maximum mental health, physical health, and performance."
Andrew Huberman,Hormone Support Supplements,"As we age, men can start to feel less like “themselves.” This can be due to dropping testosterone levels. Andrew extols the importance of maintaining healthy testosterone levels in the body. That being said, he is a big believer in ensuring proper sleep, regular exercise, a healthy diet, and the avoidance of chronic stress are all in place before seeking supplements to increase testosterone levels.

Optimizing your hormones is a critical aspect of mental health, physical health, and performance. When it is time to look into supplements to increase testosterone, Tongkat Ali and Fadogia Agrestis have done well for him as part of his personal regimen. Momentous also sells the Huberman Lab Hormone Support bundle (remember code ‘brainflow’ for 15% off!)
"
Andrew Huberman,Supplements For Improving Sleep Quality,"""Dr. Andrew Huberman is a world-renowned neuroscientist and tenured professor at Stanford University. His podcast Huberman Lab has exploded over the last year due to his expertise in optimizing health. His podcast about his sleep supplement stack has become famous among health nuts due to its success in helping people fall asleep, stay asleep, and spend longer in REM sleep without taking prescription medication.

According to estimates, 50 to 70 million people in the United States struggle with sleep. Even more disturbing, more than one-third of adults in the United States do not get 7 hours of sleep per night – the bare minimum needed to function the next day. Good sleep hygiene not only helps us feel better during the day but also helps us live longer."""
Andrew Huberman,Food Supplements,"""How do we improve the quality of our sleep? How do we maintain our testosterone levels as we get older? How do we keep focus and attention when life can be so exhausting and simultaneously pull you in a million different directions? How do we keep our stress under control? Most people have these questions, and it can be challenging to sort out the excellent information from the bad when searching for answers.

If you listen to Joe Rogan’s top-rated podcast, you may have heard a fascinating episode with Dr. Andrew Huberman, who has these same questions and tried to answer them himself. Since then, Huberman’s own podcast has since blown up. It has sparked a lot of interest in Dr. Huberman’s background, research, and his own personal supplement regimen for maximum mental health, physical health, and performance."""
Andrew Huberman,Tracking & Measuring Health,"Andrew tests his blood twice a year to track and monitor his health. He finds that by doing this, he can adequately determine what supplements do to his body. One example is when he took Tongkat Ali and Fadogia Agretis for a testosterone boost. Before adding these supplements to his regimen, Andrew already had a baseline reading from his prior blood tests. After taking the supplements, he could adequately test their effects on his system from his next blood test.

One company that Andrew endorses for blood tests that he has specifically endorsed on his podcast is Inside Tracker. Inside Tracker was founded in 2009 by experts in biometric data, genetics, and aging. These experts come from heralded academic institutions like MIT, Harvard, and Tufts. The algorithm that drives Inside Tracker’s platform is constantly being further refined and developed. Whenever there are further cutting-edge advances in the field, Inside Tracker is known to be at the forefront of them."
Andrew Huberman,Sponsors of the Huberman Lab Podcast,"The Huberman Lab podcast has worked with a select group of sponsors since our launch in January 2021. These relationships allow for ongoing production of the podcast and allow it to be zero-cost to anyone who wishes to listen to and watch the podcast.

Our philosophy on sponsors is and always has been the following:

We only work with brands whose products we personally use and love.

When we have changed or stopped working with a sponsor, it reflects one or more of the following:

They no longer wished to sponsor the podcast
We found a superior product
We changed our stance on their product based on new information or our experience
They went out of business or merged with a larger group we do not endorse
If we no longer work with a sponsor, we remove those ads from our audio back catalog. Alas, YouTube does not allow for easy removal of segments within video content, but in those cases we remove the links from the video description.

If you come across any mention of Dr. Andrew Huberman or the Huberman Lab podcast in connection with a particular product online, it does not necessarily mean that we endorse it. We caution against the unauthorized use of Dr. Huberman’s image, name, likeness and reputation, and references to the Huberman Lab podcast.

Therefore, we have listed here our current sponsor and partner relationships.

Please note that we may receive a commission or affiliate share from some of these sponsors. However, this isn’t the only way to purchase products from them. We’ve provided our links for your convenience and to support the podcast.

AG1
Momentous
LMNT
Eight Sleep
InsideTracker
ROKA
Maui Nui Venison
Plunge
HVMN
Levels
Helix Sleep
WHOOP
Additionally, Dr. Huberman is a scientific advisor to Reveri, AG1 (Athletic Greens), Momentous, WHOOP and Virtusan."
Andrew Huberman,Andrew Huberman Book Recommendations,"Compiled through farious sources such as AH's Twitter, Instagram and of course his podcast appearances, here is the list of his most recommended books he thinks everyone should read, mostly related to physical and mental health, as well as the most up-to-date and trustworthy science out there."
Tim Ferriss,Fitness Equipment,"Tim Ferriss has always sought out the most efficient and effective means to achieve peak physical condition. Whether it's calisthenics or weight training, he's dabbled in a myriad of fitness modalities. Here are some essential pieces of equipment he’s endorsed over the years to help optimize one's fitness journey."
Tim Ferriss,Food & Beverages,"From exotic teas to nutritional powerhouses, Ferriss has sampled a wide variety of foods and beverages in his quest for optimum health. The following items are among those that have not only passed his taste test but have also offered nutritional or performance benefits."
Tim Ferriss,Life Extension & Wellbeing Supplements,"Even you are going to take supplements, you might as well try and extend your life, right? While the study of longevity is pretty new, we are constantly seeing breakthroughs in the field. The following supplements have been researched and recommended by Tim to possibly increase longevity, as well as increase overall well-being."
Tim Ferriss,Tech Gadgets,"In an ever-evolving digital world, Tim is always on the lookout for the latest innovations that can make life more efficient, productive, or just plain fun. These tech gadgets have earned his stamp of approval, and many have found their way into his daily routine."
Tim Ferriss,Other Cool Stuff,Tim's curiosity extends beyond just health and productivity. This eclectic list features interesting items that have caught his eye or have added value to his life in unexpected ways.
Tim Ferriss,Cognition & Focus Enhancers,"Mastering one's mind is a topic close to Ferriss' heart. He has experimented with various substances and techniques aimed at boosting cognitive function. These are the enhancers he has found particularly effective in sharpening focus and improving mental clarity
"
Tim Ferriss,Daily Essential Supplements,"For maintaining optimal health and wellness, Tim believes in a solid foundation. These daily essential supplements are those he's found to provide consistent benefits, from boosting energy levels to fortifying the immune system."
