List,URL,Title,Price,Description,Logo,Photos,Review,Code,Details
Apparel,https://www.amazon.com/dp/B00IU3C1VU?tag=offsitoftimefe-20&geniuslink=true,Vans Gumsole Classic Slip-On,69,"The iconic Old Skool style is a classic for a reason. After long years, the shoe has transcended its humble roots and was able to survive against new sneakers. The timeless design is its greatest feature. Available in different color schemes and priced competitively, the Vans Gum Old Skool is a great addition to your sneakers collection. ",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61wtiGgB+QL._AC_UL1200_.jpg
https://m.media-amazon.com/images/I/51mcyx0hepL._AC_UL1200_.jpg
https://m.media-amazon.com/images/I/51O1rGsc2pL._AC_UL1200_.jpg
https://m.media-amazon.com/images/I/615uQm35lrL._AC_UL1200_.jpg
https://m.media-amazon.com/images/I/61rhk1u1USL._AC_UL1200_.jpg","This makes me seem like one of the grups (nymag.com/news/feat…/) but I love these shoes. Not for skating. My criteria: great for airports, zero-drop soles for restoring Achilles mobility, usable at semi-casual but nice dinners, and small enough to pack in carry-on luggage. I’ve worn these for everything from business meetings to canyon hiking (in a pinch), and they’ve held up beautifully.",,
Apparel,https://www.allbirds.com/products/mens-tree-dashers,Allbirds Men's Tree Dasher 2,135,"The Tree Dasher 2 is the next evolution of our best-selling running shoe, designed to support your everyday runs, walks, and light workouts. Made with lightweight and breathable eucalyptus fiber, this shoe has lighter, more responsive foam, extra grip, padded heel collar to reduce slipping, and an improved fit to keep you running and nature winning.",https://www.allbirds.com/cdn/shop/t/1774/assets/favicon.png?v=129998271326839127411692307565,"https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/2iD7ygEciVDD14XIpSVBLu/fa1996e9142057954db2302f93573d6e/AA000QM_SHOE_ANGLE_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/1LteTlnaCNPD4i2Qb5APH8/c3737a3610fd0972f1891d83f078b8e8/23Q2-SummerLookbook-PDP-Grid-Imagery-5.jpg
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/2QfuKrBu7shj2hzgwv8t1G/c1e73401fe63d513899933c584e3f257/AA000QM_SHOE_PUDDLE_GUARD_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/527lxyFseBbdE2WtRKkRf3/3038a06f3f8c8a24256b40b66605e4d0/AA000QM_SHOE_LEFT_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/6HqJkVdH4MKO2REUcSkdfG/1d5c4c91f841e28b5d2e8753e5efd446/AA000QM_SHOE_PAIR_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/500BrTPgYMk8G7NPL0xwMU/8a3604c6fc5fe9408b0e92cb22a0f4fc/AA000QM_SHOE_BACK_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_1600,b_rgb:f5f5f5/cms/3QuFDXFPGbSGJl88d4f5RY/d899130296c9edb09b568bf4b7e37c90/AA000QM_SHOE_TOP_GLOBAL_MENS_TREE_DASHER_2.0_Blizzard_Blizzard.png
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_860/cms/Lr6MkFNbTwKTmc0No3u3n/8a79bfb95eeb7ccbba922a9f06c76e15/22Q1_Dasher2_BelowTheFold_MCard01.jpg
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_860/cms/3xLOY4G60cPLnfjYcEvdlJ/618e4583ee223e19932f27bd52f21163/22Q1_Dasher2_BelowTheFold_MCard02.jpg
https://cdn.allbirds.com/image/upload/f_auto,q_auto,w_860/cms/51vF1YLaAqCDHrH0TekSIr/32fbe41284923ffbab79fcef6a8b1180/PDP-Below-The-Fold-Imagery-Desktop_2_TD2.jpg
https://cdn.cookielaw.org/logos/0b9f74e8-b9c3-40a2-9197-b5a394dea570/18541889-8a69-4580-9b85-5511b6f023a8/5920bccc-8213-4567-ae6d-da69691ca4f8/logo_with_padding_(1).png","Allbirds are incredibly comfortable shoes, sustainably made, with design rooted in simplicity. I’ve been wearing Allbirds for the last several months, and I’ve been alternating between two pairs. I started with the Tree Runners (in marine blue, if you’re curious), and now I’m wearing the Tree Dashers, and the Tree Dashers are my current “daily driver.” I stick with the blue hues, and the Dashers are in buoyant blue. The color pops, and I’ve received a ton of compliments.

The Tree Dasher is an everyday running and walking shoe that’s also great for light workouts. It’s super comfortable, and I’ve been testing it on long walks in Austin and New Zealand on both trails and pavement. Find your perfect pair at Allbirds.com today and use code TIM for free socks with a purchase of $48 or more. Just add a pair of socks to your shopping cart and apply code TIM to make the pair free.",TIM,Find your perfect pair at Allbirds.com today and use code TIM for free socks with a purchase of $48 or more. Just add a pair of socks to your shopping cart and apply code TIM to make the pair free.
Apparel,https://vuoriclothing.com/products/sunday-performance-jogger-black?queryId=7146d476c168fa8d19ec2bc5e16c9fdc&index=us_products_recently_ordered_count_desc&objectId=2363783217210,Vuori Sunday Performance Jogger,98,Vuori's Sunday Performance Joggers provide a fresh take on athleisure and serve as the perfect staple pants in your wardrobe. Shop our men's black joggers.,https://vuoriclothing.com/cdn/shop/files/Favicon_32x32.png?v=1613786344,"https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416BLK_1_corrected.jpg?width=1600&v=1688709975
https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416_BLK_1_3c2a46a7-a06c-4ff7-9165-34fce6360b56.jpg?width=1600&v=1688709975
https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416_BLK_2.jpg?width=1600&v=1688709974
https://cdn.shopify.com/s/files/1/0022/4008/6074/files/V416BLK_FA22_M_ECOMM_PANTS_FULL_11079_4X5_bb84d73e-5c80-4b02-9b29-2aa05bd45eb5.jpg?width=1600&v=1690915734
https://cdn.shopify.com/s/files/1/0022/4008/6074/files/V416BLK_FA22_M_ECOMM_PANTS_DETAIL_11163_4X5_5db14511-1b59-44f7-b455-413730bd77a4.jpg?width=1600&v=1688710451
https://cdn.shopify.com/s/files/1/0022/4008/6074/files/V416BLK_FA22_M_ECOMM_PANTS_DETAIL_11168_4X5_1869e54d-df2a-4d04-baf5-4a94dde8d0ca.jpg?width=1600&v=1688710450","Vuori clothing is a new and fresh perspective on performance apparel. Perfect if you are sick and tired of traditional, old workout gear. Everything is designed for maximum comfort and versatility so that you look and feel as good in everyday life as you do working out.",https://vuoriclothing.com/pages/pod_timferriss_sp23,"Get yourself some of the most comfortable and versatile clothing on the planet at VuoriClothing.com/Tim. Not only will you receive 20% off your first purchase, but you’ll also enjoy free shipping on any US orders over $75 and free returns."
Athletic Performance & Recovery,"https://www.charlottesweb.com/media/catalog/product/f/r/frame_458.png?quality=75&fit=bounds&height=700&width=700&format=jpeg
https://www.charlottesweb.com/media/catalog/product/6/0/60mg-lifestyle-1.jpg?quality=75&fit=bounds&height=700&width=700
https://www.charlottesweb.com/media/catalog/product/6/0/60mg-lifestyle-3.jpg?quality=75&fit=bounds&height=700&width=700",Charlotte's Web CBD Oil,119.99,"As our highest concentration of CBD per mL, the 60 CBD/1 ML Charlotte’s Web CBD Oil is ideal for those who want to step up their CBD supplement routine and increase their dosage. Featuring a full-spectrum hemp extract with a variety of phytocannabinoids, this is well-suited for those who are already familiar with CBD and are ready for the next step. Available in our natural flavors of Mint Chocolate, Lemon Twist and Orange Blossom.

",https://www.charlottesweb.com/media/favicon/default/favicon.ico,"https://www.charlottesweb.com/media/wysiwyg/CBD-Oil.png
https://www.charlottesweb.com/media/wysiwyg/CBD-Gummies.png
https://www.charlottesweb.com/media/wysiwyg/CBD-Capsules.png
https://www.charlottesweb.com/media/wysiwyg/CBD-Topicals.png
https://www.charlottesweb.com/media/wysiwyg/CBD-Pet.png
https://www.charlottesweb.com/media/wysiwyg/Daily-Wellness.png
https://www.charlottesweb.com/media/wysiwyg/Calm.png
https://www.charlottesweb.com/media/wysiwyg/Sleep.png
https://www.charlottesweb.com/media/wysiwyg/Recovery.png
https://www.charlottesweb.com/media/wysiwyg/Immunity.png
https://www.charlottesweb.com/media/wysiwyg/cbd-medic.jpg
https://www.charlottesweb.com/media/wysiwyg/subscribe-save.png
https://www.charlottesweb.com/media/wysiwyg/loyalty.png
https://www.charlottesweb.com/media/wysiwyg/ExploreTab_MLB_2_2x.jpg
https://www.charlottesweb.com/media/wysiwyg/getting-started.png
https://www.charlottesweb.com/media/wysiwyg/growing-to-heal.png
https://www.charlottesweb.com/static/version1691550551/frontend/Gorilla/charlottes-web/en_US/images/loader-1.gif
https://www.charlottesweb.com/static/version1691550551/frontend/Gorilla/charlottes-web/en_US/images/autoship/autoship-img-content.jpg
https://www.charlottesweb.com/static/version1691550551/frontend/Gorilla/charlottes-web/en_US/images/autoship/autoship-img-content-mobile.jpg
https://www.charlottesweb.com/static/version1691550551/frontend/Gorilla/charlottes-web/en_US/images/autoship/autoship-logo-mobile.png
https://www.charlottesweb.com/static/version1691550551/frontend/Gorilla/charlottes-web/en_US/images/autoship/autoship-logo.png
https://www.charlottesweb.com/media/wysiwyg/41.png
https://www.charlottesweb.com/media/wysiwyg/44.png
https://www.charlottesweb.com/media/wysiwyg/37.png
https://www.charlottesweb.com/media/wysiwyg/product-detail-page-renegade-spirit-mobile.jpg
https://www.charlottesweb.com/media/catalog/product/s/t/stickcover.jpg?quality=75&fit=bounds&height=480&width=480
https://www.charlottesweb.com/media/catalog/product/t/i/tincture_of_100ml_beauty_mintchocolate_front.png?quality=75&fit=bounds&height=480&width=480&format=jpeg
https://www.charlottesweb.com/media/catalog/product/c/a/calm-90ct-pdp-poy_1.jpg?quality=75&fit=bounds&height=480&width=480
https://www.charlottesweb.com/media/wysiwyg/quality-video-product-detail.jpg
https://www.charlottesweb.com/media/wysiwyg/cannabis-101-image-featured.jpg
https://www.charlottesweb.com/media/wysiwyg/find-right-concentrate-image-featured_1.jpg
https://www.charlottesweb.com/media/wysiwyg/difference-between-original-formula-and-60mg-featured.jpg
https://www.charlottesweb.com/media/wysiwyg/bcorp_logo_slate.png
https://www.charlottesweb.com/media/wysiwyg/one_checkout_complete.png",This supplement contains CBD from hemp for relaxation and pain relief. Tim uses it for better sleep and muscle soreness. He recommends the brand Charlotte’s Web.,,
Athletic Performance & Recovery,https://www.amazon.com/gp/product/B01MZD6VN0/ref=as_li_qf_asin_il_tl?ie=UTF8&tag=brainflow0a-20&creative=9325&linkCode=as2&creativeASIN=B01MZD6VN0&linkId=b2a2dee896152e72a8dc8170df99eadd,Ascent 100% Whey Protein Powder ,70,"• Native Whey Protein Powder Isolate Blend - The least-processed chocolate whey protein available today, naturally higher in leucine for muscle synthesis. Mixes silky smooth every time with just cold water.
• 25g Protein Per Scoop - 5.7g Naturally Occurring BCAAs, and a clean, minimalist ingredient list. Certified Gluten Free and Informed Choice Certified. Lightly sweetened with stevia leaf extract.
• Designed for Post Workout Recovery - Supports fitness goals with pure whey that rapidly digests to fuel muscle growth and recovery. A protein smoothie essential.
• 0g of Added Sugar, Zero Artificial Flavors and Sweeteners - Clean, pure protein that easily fits low carb and keto diets. Perfect for recipes & baking high protein snacks.
• 4 LB Bulk Whey Protein Powder with included scoop - Simple collapsible bag packaging for easier storage in small or irregular cabinets and drawers.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/71ksGGvsUVL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71QthhyWOQL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/91ZLVGFxDnL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81q4WYKLrkL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71HslNz5i8L._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81N4BU4MAiL._AC_SL1500_.jpg","Ferriss mentions in the same Facebook video, as well as the 4-Hour Body, that he is a huge fan of whey protein taken post-workout. Whey is a fantastic source of high-quality protein, and is an excellent way to feel your muscles by taking it immediately after your finish your workout.

When it comes to protein, Tim takes Native Fuel Whey by Ascent Nutrition. Disclaimer here though, Ferriss is an investor in the company, but that is because it is one of the best whey proteins on the market. Ferriss had this to say about the company: “If you want cleaner, purer, less processed protein that you can trust — which I certainly do — then Ascent protein is the option for you.”",,
Athletic Performance & Recovery,https://www.amazon.com/gp/product/B00KZNOYDG/ref=as_li_qf_asin_il_tl?ie=UTF8&tag=brainflow0a-20&creative=9325&linkCode=as2&creativeASIN=B00KZNOYDG&linkId=f808a5396b58373f151c8333b4ec2be1,BSN N.O.-XPLODE Pre Workout Supplement with Creatine,50.86,"N.O.-XPLODE pre-workout is the legendary formula that athletes rely on when they want to own their workouts and turn heads everywhere they go. Designed with advanced, show-stopping technology to support explosive energy, enhanced endurance, mental focus, and maximum intensity, N.O.-XPLODE is the ultimate pump pre-workout blend to maximize performance – start to finish.
• N.O.-XPLODE PRE-WORKOUT IGNITER – legendary pre-workout with industry heritage that has helped athletes train harder since 2011
• ADVANCED INGREDIENT TECHNOLOGY – re-engineered to help you push you past previous limits
• THE ULTIMATE PUMP PRE-WORKOUT – Supports explosive energy, intense focus, and maximum performance
• AMAZING FLAVORS – Fruit Punch, Blue Raz, Grape, Green Apple, Watermelon
• 9 SIZES AVAILABLE – 30 servings or 60 servings
• Product Note: Exposure to heat or sunlight may lead to melting/damage of product. Hence customers are expected to be available during the product delivery",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/715Jjd6HmNL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81Y5et-b5cL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71vO33zyXcL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/813dtU1Ne2L._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81c2Ne6jNjL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71FiiN5116L._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71gmM7UNLoL._AC_SL1500_.jpg",In Tim’s famous Geek to Freak experiment – where he gained 34 pounds of muscle in just 28 days – he mentions taking a pre-workout supplement called NO-Xplode. Taking a pre-workout supplement can enhance your workouts by giving you a boost of caffeine and other supplements that enhance athletic performance. Tim would take 2 scoops of NO-Xplode before his workout.,,
Athletic Performance Supplements,https://drinklmnt.com/products/lmnt-recharge-electrolyte-drink?rfsn=4170580.a8d43d&utm_medium=sponsor&utm_source=timferriss&utm_campaign=agwp&utm_content=&utm_term=&_gl=1*aoyrap*_ga*OTM2NzQ0ODcwLjE2Nzg2OTg5OTY.*_ga_BKZV7MVXM7*MTY3ODY5ODk5Ni4xLjEuMTY3ODY5ODk5Ni4wLjAuMA..&variant=16358367199266,LMNT - The Best Electrolyte Drink Mix Ever,45,"A tasty electrolyte drink mix that is formulated to help anyone with their electrolyte needs and is perfectly suited to folks following a keto, low-carb, or paleo diet.",https://drinklmnt.com/cdn/shop/files/LMNT_Favicon_32x32.png?v=1614311529,"https://drinklmnt.com/cdn/shop/products/01_CITRUS_STICKS.jpg?v=1659968643&width=1176
https://drinklmnt.com/cdn/shop/products/04_NUTRITION_CITRUS.jpg?v=1682093460&width=1176
https://drinklmnt.com/cdn/shop/products/03_OPEN_CITRUS.jpg?v=1682093460&width=1176
https://drinklmnt.com/cdn/shop/products/02_HERO_CITRUS.jpg?v=1682093460&width=1176
https://drinklmnt.com/cdn/shop/products/05_USES_CITRUS.jpg?v=1682093460&width=1176
https://drinklmnt.com/cdn/shop/products/06_ROBB_CITRUS.jpg?v=1682093460&width=1176
https://drinklmnt.com/cdn/shop/products/08_CITRUS_FRUIT.jpg?v=1682704881&width=1176
https://drinklmnt.com/cdn/shop/files/07_POUR_CITRUS_3d27b6af-bcbe-497b-a792-52119375e245.jpg?v=1682705105&width=1176
"," I’ve stocked up on boxes and boxes of LMNT, and I usually use 1–2 packs per day to add electrolytes to prevent dehydration symptoms like headaches, muscle cramps, and fatigue. I add electrolytes for many reasons: because I over-hydrate compulsively while stuck at a laptop (which dilutes electrolytes and leads me to feel tired), because I’m on a low-carb diet, because I’ve lost electrolytes through exercise, dry winter climates, etc. It’s simply cheap hydration insurance that tastes great. Each serving of LMNT delivers a meaningful dose of electrolytes without the garbage—no sugar, no artificial ingredients, no coloring, no junk. My favorite flavor is Citrus Salt, which, as a side note, you can use to make a kick-ass, no-sugar margarita. ",DrinkLMNT.com/Tim,"Find your favorite flavor with a free LMNT Sample Pack, included with any purchase for a limited time. And if you don’t love your purchase for any reason, my friends at LMNT offer a no-questions-asked refund policy. This special offer is available here: DrinkLMNT.com/Tim.*"
Athletic Performance Supplements,https://www.ascentprotein.com/products/vanilla-bean-plant-based-protein-powder,Ascent Plant-Based Protein Powder,34.99,"Ascent’s Vanilla Bean Vegan Protein Powder is the perfect blend that is delicious and smooth while delivering 25g of clean, certified organic, plant-based protein","https://www.ascentprotein.com/cdn/shop/files/logo-mobile_bb2a0a34-39a6-49c4-bbb4-44384cf92db8.png?v=1660320272
","https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-2lb-main.png?v=1691100164&width=640
https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-tray-main.png?v=1691100155&width=640
https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-2lb-athlete.png?v=1691100171&width=640
https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-2lb-lifestyle.png?v=1691100182&width=640
https://www.ascentprotein.com/cdn/shop/products/allproduct-familyshot_85393ab1-7424-4fa6-850d-5fa4144868a9.png?v=1691100187&width=640
https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-2lb-nfp.png?v=1691100085&width=640
https://www.ascentprotein.com/cdn/shop/products/plant-vanilla-4lb-lifestyle.png?v=1691100097&width=640
https://www.ascentprotein.com/cdn/shop/files/muscle_health.png?v=6345418349582894152
https://www.ascentprotein.com/cdn/shop/files/informed_sport.png?v=15893865699939714619
https://www.ascentprotein.com/cdn/shop/files/gluten_free.png?v=12912970814928196726
https://www.ascentprotein.com/cdn/shop/files/vegan.png?v=10692483523293008698
https://www.ascentprotein.com/cdn/shop/files/USDA_organic.png?v=10259979741183074349
https://www.ascentprotein.com/cdn/shop/products/powder_3c44e1d4-c3d5-4d0b-9a20-5beaa76c9d46_1200x.png?v=1691100123
https://www.ascentprotein.com/cdn/shop/products/workout-3_dded8228-104b-41b8-bdf7-e22414fdaa15_1200x.png?v=1691100147
https://cdn.stamped.io/cdn/images/pixel.png
https://www.ascentprotein.com/cdn/shop/files/workout_708bb8df-b218-4192-86fa-f2b2aa16480d_1200x.png?v=1684943267","Ever since I wrote The 4-Hour Body, starting my day with ~30 grams of protein has been an essential part of my routine. I’ve been using Ascent’s whey protein for the last several years, and I recently tried their new plant-based protein. I’ve experimented with many other plant-based proteins, and most compromise on taste or efficacy, but Ascent Plant Protein is delicious and provides 25 grams of protein with 4 grams of BCAAs to support muscle health. To ensure their product tastes great, Ascent verified it with third-party consumer research, and it won on taste and texture against the market leader. What’s more, it’s made from organic, real-food sources like organic pea, pumpkin, and sunflower and contains zero artificial ingredients, artificial sweeteners, or added sugars. ",20TFASCENT,"Visit AscentProtein.com/Tim and use the code 20TFASCENT and you’ll receive 20% off of your entire purchase. This code is valid on their website and on Amazon.com. If you want a quick dose of protein to start your day or end a workout, this is a great option and my default. Enjoy!"
Athletic Performance Supplements,https://ucan.co/product-category/energy-powder/,UCAN Energy Poweder,69.95,"Designed to deliver a steady stream of energy to the mind and body, UCAN Energy Powders allow you to train longer at higher intensities with sustained energy. No sugar. No stimulants. Only clean, crash-free fuel to help you unlock next level performance.",https://res.cloudinary.com/dncij7vr6/image/upload/v1678942889/favolist/app%20assets/product%20images/tim%20ferris/UCAN/UCAN-logo_mc0uiy.png,https://res.cloudinary.com/dncij7vr6/image/upload/v1678942889/favolist/app%20assets/product%20images/tim%20ferris/UCAN/UCAN_v6ak4t.png,"I was introduced to UCAN and its unique carbohydrate SuperStarch by my good friend—and listener favorite—Dr. Peter Attia, who said there is no carb in the world like it. I have since included it in my routine, using UCAN’s powders to power my workouts, and the bars make great snacks. Extensive scientific research and clinical trials have shown that SuperStarch provides a sustained release of energy to the body without spiking blood sugar. UCAN is the ideal way to source energy from a carbohydrate without the negatives associated with fast carbs, especially sugar.  

You avoid fatigue, hunger cravings, and loss of focus. Whether you’re an athlete working on managing your fitness or you need healthy, efficient calories to get you through your day, UCAN is an elegant energy solution. ",TIM,My listeners can save 25% on their first UCAN order by going to ucan.co and using promo code TIM. US orders will also be shipped for free.
Athletic Performance Supplements,https://humann.com/products/superbeets-superfood?variant=29389025935471,humann SuperBeets Sport,39.95,"SuperBeets contains 100% non-GMO beetroot powder grown in the USA and is clinically researched and scientifically formulated to provide optimum levels of Nitric Oxide to the body. Just one teaspoon of SuperBeets helps support blood circulation, healthy blood pressure levels, and heart-healthy energy without caffeine.",https://humann.com/cdn/shop/files/Humann_Exponent_logo_FullColor.png?crop=center&height=32&v=1654803233&width=32,"https://humann.com/cdn/shop/files/PDP_Main_SB_BlackCherry_d9d865c6-e62d-4ad7-af03-02f234100989_1000x.jpg?v=1688741525
https://humann.com/cdn/shop/files/SB-powder-PDP-Thumbnail-2_1000x.jpg?v=1688741280
https://humann.com/cdn/shop/files/SB-powder-PDP-Thumbnail-3_1000x.jpg?v=1688741280
https://humann.com/cdn/shop/files/PDP_Main_SB_BlackCherry_d9d865c6-e62d-4ad7-af03-02f234100989_1000x.jpg?v=1688741525","Add a tablespoon of this beet root powder to your Great Lakes Gelatin to stave off any cow-hoof flavor. Amelia Boone, mentioned above, uses this for pre-race and pre-training endurance benefits, but I'm much harder-core: I use it to make tart, low-carb gummy bears when fat Tim has carb cravings.",,
